manufacturer,model_name,variant_name,manufacturing_year,showroom_price,fuel_type,engine_capacity_cc,body_type,seating_capacity,transmission,power_bhp,torque_nm,mileage_kmpl,safety_rating,features
MG,Gloster,Gloster,2025,₹41.05 - 46.24 Lakh,Diesel,1996,SUV,6,Automatic,212.55 bhp,N/A,10 kmpl,N/A,"Diesel, 10 kmpl, Automatic, 6, 7 Seats"
MG,ZS EV,ZS EV,2025,₹17.99 - 20.50 Lakh,Electric,0,SUV,5,Automatic,174.33 bhp,N/A,N/A,5 Star,"Electric, Automatic, 461 km range, 50.3 kWh battery, 6 Airbags"
MG,Hector Plus,Hector Plus,2025,₹17.50 - 23.94 Lakh,Diesel/Petrol,1956,SUV,5,Manual/Automatic,167.67 bhp,N/A,15.58 kmpl,5 Star,"Diesel/Petrol, 15.58 kmpl, Manual/Automatic, 5 Star Safety"
Mahindra,Scorpio,Scorpio,2025,₹13.77 - 17.72 Lakh,Diesel,2184,SUV,7,Manual,130,330 Nm,14.44,4 Star,"7-9 Seats, Diesel, 14.44 kmpl, Manual Transmission"
Mahindra,Thar ROXX,Thar ROXX,2025,₹12.99 - 23.39 Lakh,Diesel/Petrol,2184,SUV,5,Manual/Automatic,174,320 Nm,15.2,4 Star,"5 Seats, Diesel/Petrol, 15.2 kmpl, Manual/Automatic Transmission"
Mahindra,XUV700,XUV700,2025,₹14.49 - 25.14 Lakh,Diesel/Petrol,2198,SUV,5,Manual/Automatic,197,450 Nm,17,5 Star,"5 Seats, Diesel/Petrol, 17 kmpl, Manual/Automatic Transmission"
Mahindra,Scorpio N,Scorpio N,2025,₹13.99 - 25.15 Lakh,Diesel/Petrol,2198,SUV,5,Manual/Automatic,200,370 Nm,15.94,5 Star,"5 Seats, Diesel/Petrol, 15.94 kmpl, Manual/Automatic Transmission"
Mahindra,Bolero,Bolero,2025,₹9.81 - 10.93 Lakh,Diesel,1493,SUV,7,Manual,75,210 Nm,16,1 Star,"7 Seats, Diesel, 16 kmpl, Manual Transmission"
Mahindra,XUV 3XO,XUV 3XO,2025,₹7.99 - 15.80 Lakh,Diesel/Petrol,1498,SUV,5,Manual/Automatic,128.73,300 Nm,20.6,5 Star,"5 Seats, Diesel/Petrol, 20.6 kmpl, Manual/Automatic Transmission"
Mahindra,Thar,Thar,2025,₹11.50 - 17.62 Lakh,Diesel/Petrol,2184,SUV,4,Manual/Automatic,150.19,300 Nm,8,4 Star,"4 Seats, Diesel/Petrol, 8 kmpl, Manual/Automatic Transmission"
Mahindra,BE 6,BE 6,2025,₹18.90 - 27.65 Lakh,Electric,0,SUV,5,Automatic,282,0 Nm,N/A,5 Star,"5 Seats, Electric, 683 km range, Automatic Transmission"
Mahindra,XEV 9e,XEV 9e,2025,₹21.90 - 31.25 Lakh,Electric,0,SUV,5,Automatic,282,0 Nm,N/A,5 Star,"5 Seats, Electric, 656 km range, Automatic Transmission"
Mahindra,Bolero Neo,Bolero Neo,2025,₹9.97 - 12.18 Lakh,Diesel,1493,SUV,5,Manual,98.56,240 Nm,17.29,1 Star,"5 Seats, Diesel, 17.29 kmpl, Manual Transmission"
Mahindra,Bolero Camper,Bolero Camper,2025,₹10.41 - 10.76 Lakh,Diesel,2523,Pickup,5,Manual,75.09,220 Nm,16,N/A,"5 Seats, Diesel, 16 kmpl, Manual Transmission"
Mahindra,Marazzo,Marazzo,2025,₹14.59 - 17 Lakh,Diesel,1497,MUV,7,Manual,120.96,300 Nm,17.3,4 Star,"7 Seats, Diesel, 17.3 kmpl, Manual Transmission"
Mahindra,XUV400 EV,XUV400 EV,2025,₹15.49 - 17.69 Lakh,Electric,0,SUV,5,Automatic,149.55,0 Nm,N/A,N/A,"5 Seats, Electric, 456 km range, Automatic Transmission"
Mahindra,Bolero Neo Plus,Bolero Neo Plus,2025,₹11.41 - 12.51 Lakh,Diesel,2184,SUV,9,Manual,118.35,300 Nm,14,N/A,"9 Seats, Diesel, 14 kmpl, Manual Transmission"
Mahindra,Bolero Pik-Up,Bolero Pik-Up,2025,₹9.70 - 10.59 Lakh,Diesel,2523,Pickup,2,Manual,75.09,220 Nm,14.3,N/A,"2 Seats, Diesel, 14.3 kmpl, Manual Transmission"
Kia,Seltos,Kia Seltos,2025,₹11.19 - 20.56 Lakh,Diesel/Petrol,1497,SUV,5,Manual/Automatic,157.81,NaN,20.7,3 Star,"Diesel/Petrol, 20.7 kmpl, Manual/Automatic"
Kia,Sonet,Kia Sonet,2025,₹8 - 15.64 Lakh,Diesel/Petrol,1493,SUV,5,Manual/Automatic,118,NaN,24.1,NaN,"Diesel/Petrol, 24.1 kmpl, Manual/Automatic"
Kia,Carens,Kia Carens,2025,₹11.41 - 13.16 Lakh,Diesel/Petrol,1497,MUV,5,Manual,157.81,NaN,12.6,3 Star,"Diesel/Petrol, 12.6 kmpl, Manual"
Kia,Syros,Kia Syros,2025,₹9.50 - 17.80 Lakh,Diesel/Petrol,1493,SUV,5,Manual/Automatic,118,NaN,20.75,NaN,"Diesel/Petrol, 20.75 kmpl, Manual/Automatic"
Kia,Carens Clavis,Kia Carens Clavis,2025,₹11.50 - 21.50 Lakh,Diesel/Petrol,1497,MUV,6,Manual/Automatic,157.57,NaN,19.54,NaN,"Diesel/Petrol, 19.54 kmpl, Manual/Automatic"
Kia,Carnival,Kia Carnival,2025,₹63.91 Lakh,Diesel,2151,MUV,7,Automatic,190,NaN,14.85,NaN,"Diesel, 14.85 kmpl, Automatic"
Kia,Carens Clavis EV,Kia Carens Clavis EV,2025,₹17.99 - 24.49 Lakh,Electric,0,MUV,7,Automatic,169,NaN,NaN,NaN,"Electric, 490 km, Automatic"
Kia,EV6,Kia EV6,2025,₹65.97 Lakh,Electric,0,SUV,5,Automatic,321,NaN,NaN,NaN,"Electric, 663 km, Automatic"
Kia,EV9,Kia EV9,2025,₹1.30 Cr,Electric,0,SUV,6,Automatic,379,NaN,NaN,NaN,"Electric, 561 km, Automatic"
Maruti Suzuki,Swift,Swift,2025,₹6.49 - 9.64 Lakh,Petrol/CNG,1197,Hatchback,5,Manual/Automatic,80.46 bhp,113 Nm,25.75 kmpl,4 Star,"Petrol/CNG, 25.75 kmpl, Manual/Automatic, 1197 cc, 80.46 bhp, 4 Star Safety"
Maruti Suzuki,Ertiga,Ertiga,2025,₹8.96 - 13.26 Lakh,Petrol/CNG,1462,MUV,5,Manual/Automatic,101.64 bhp,138 Nm,20.51 kmpl,3 Star,"Petrol/CNG, 20.51 kmpl, Manual/Automatic, 1462 cc, 101.64 bhp, 3 Star Safety"
Maruti Suzuki,FRONX,FRONX,2025,₹7.54 - 13.06 Lakh,Petrol/CNG,1197,SUV,5,Manual/Automatic,98.69 bhp,147 Nm,22.89 kmpl,5 Star,"Petrol/CNG, 22.89 kmpl, Manual/Automatic, 1197 cc, 98.69 bhp, 5 Seats"
Maruti Suzuki,Baleno,Baleno,2025,₹6.70 - 9.92 Lakh,Petrol/CNG,1197,Hatchback,5,Manual/Automatic,88.5 bhp,113 Nm,22.94 kmpl,5 Star,"Petrol/CNG, 22.94 kmpl, Manual/Automatic, 1197 cc, 88.5 bhp, 5 Seats"
Maruti Suzuki,Brezza,Brezza,2025,₹8.69 - 14.14 Lakh,Petrol/CNG,1462,SUV,5,Manual/Automatic,101.64 bhp,138 Nm,19.89 kmpl,4 Star,"Petrol/CNG, 19.89 kmpl, Manual/Automatic, 1462 cc, 101.64 bhp, 4 Star Safety"
Maruti Suzuki,Dzire,Dzire,2025,₹6.84 - 10.19 Lakh,Petrol/CNG,1197,Sedan,5,Manual/Automatic,80 bhp,113 Nm,25.71 kmpl,5 Star,"Petrol/CNG, 25.71 kmpl, Manual/Automatic, 1197 cc, 80 bhp, 5 Star Safety"
Maruti Suzuki,Wagon R,Wagon R,2025,₹5.79 - 7.62 Lakh,Petrol/CNG,1197,Hatchback,5,Manual/Automatic,88.5 bhp,113 Nm,25.19 kmpl,1 Star,"Petrol/CNG, 25.19 kmpl, Manual/Automatic, 1197 cc, 88.5 bhp, 1 Star Safety"
Maruti Suzuki,Grand Vitara,Grand Vitara,2025,₹11.42 - 20.68 Lakh,Petrol/CNG,1490,SUV,5,Manual/Automatic,101.64 bhp,136 Nm,27.97 kmpl,5 Star,"Petrol/CNG, 27.97 kmpl, Manual/Automatic, 1490 cc, 101.64 bhp, 5 Seats"
Maruti Suzuki,Alto K10,Alto K10,2025,₹4.23 - 6.21 Lakh,Petrol/CNG,998,Hatchback,5,Manual/Automatic,65.71 bhp,90 Nm,24.9 kmpl,2 Star,"Petrol/CNG, 24.9 kmpl, Manual/Automatic, 998 cc, 65.71 bhp, 2 Star Safety"
Maruti Suzuki,Jimny,Jimny,2025,₹12.76 - 14.96 Lakh,Petrol,1462,SUV,5,Manual/Automatic,103 bhp,130 Nm,16.94 kmpl,3 Star,"Petrol, 16.94 kmpl, Manual/Automatic, 1462 cc, 103 bhp, 3 Star Safety"
Maruti Suzuki,XL6,XL6,2025,₹11.84 - 14.99 Lakh,Petrol/CNG,1462,MUV,6,Manual/Automatic,101.64 bhp,138 Nm,20.97 kmpl,3 Star,"Petrol/CNG, 20.97 kmpl, Manual/Automatic, 1462 cc, 101.64 bhp, 3 Star Safety"
Maruti Suzuki,Celerio,Celerio,2025,₹5.64 - 7.37 Lakh,Petrol/CNG,998,Hatchback,5,Manual/Automatic,65.71 bhp,89 Nm,26.68 kmpl,5 Star,"Petrol/CNG, 26.68 kmpl, Manual/Automatic, 998 cc, 65.71 bhp, 5 Seats"
Maruti Suzuki,Ignis,Ignis,2025,₹5.85 - 8.12 Lakh,Petrol/CNG,1197,Hatchback,5,Manual/Automatic,81.8 bhp,113 Nm,20.89 kmpl,1 Star,"Petrol/CNG, 20.89 kmpl, Manual/Automatic, 1197 cc, 81.8 bhp, 1 Star Safety"
Maruti Suzuki,Eeco,Eeco,2025,₹5.70 - 6.96 Lakh,Petrol/CNG,1197,MUV,5,Manual,79.65 bhp,79.65 Nm,19.71 kmpl,N/A,"Petrol/CNG, 19.71 kmpl, Manual, 1197 cc, 79.65 bhp, 5, 7 Seats"
Maruti Suzuki,S-Presso,S-Presso,2025,₹4.26 - 6.12 Lakh,Petrol/CNG,998,Hatchback,5,Manual/Automatic,65.71 bhp,90 Nm,25.3 kmpl,1 Star,"Petrol/CNG, 25.3 kmpl, Manual/Automatic, 998 cc, 65.71 bhp, 1 Star Safety"
Maruti Suzuki,Ciaz,Ciaz,2025,₹9.41 - 12.31 Lakh,Petrol,1462,Sedan,5,Manual/Automatic,103.25 bhp,138 Nm,20.65 kmpl,4 Star,"Petrol, 20.65 kmpl, Manual/Automatic, 1462 cc, 103.25 bhp, 4 Star Safety"
Maruti Suzuki,Invicto,Invicto,2025,₹25.51 - 29.22 Lakh,Petrol,1987,MUV,5,Automatic,150.19 bhp,200 Nm,23.24 kmpl,5 Star,"Petrol, 23.24 kmpl, Automatic, 1987 cc, 150.19 bhp, 5 Star Safety"
Maruti Suzuki,Dzire Tour S,Dzire Tour S,2025,₹6.82 - 7.77 Lakh,Petrol/CNG,1197,Sedan,5,Manual,76.43 bhp,113 Nm,26.06 kmpl,N/A,"Petrol/CNG, 26.06 kmpl, Manual, 1197 cc, 76.43 bhp, N/A"
Maruti Suzuki,Ertiga Tour,Ertiga Tour,2025,₹10.03 - 10.98 Lakh,Petrol/CNG,1462,MUV,5,Manual,103.25 bhp,138 Nm,18.04 kmpl,3 Star,"Petrol/CNG, 18.04 kmpl, Manual, 1462 cc, 103.25 bhp, 3 Star Safety"
Maruti Suzuki,Alto Tour H1,Alto Tour H1,2025,₹4.97 - 5.87 Lakh,Petrol/CNG,998,Hatchback,5,Manual,67.58 bhp,67.58 Nm,24.39 kmpl,N/A,"Petrol/CNG, 24.39 kmpl, Manual, 998 cc, 67.58 bhp, N/A"
Maruti Suzuki,Eeco Cargo,Eeco Cargo,2025,₹5.84 - 7.17 Lakh,Petrol/CNG,1197,MUV,2,Manual,79.65 bhp,79.65 Nm,20.2 kmpl,N/A,"Petrol/CNG, 20.2 kmpl, Manual, 1197 cc, 79.65 bhp, 2 Star Safety"
Maruti Suzuki,Wagon R Tour,Wagon R Tour,2025,₹5.75 - 6.66 Lakh,Petrol/CNG,998,Hatchback,5,Manual,65.71 bhp,65.71 Nm,25.4 kmpl,1 Star,"Petrol/CNG, 25.4 kmpl, Manual, 998 cc, 65.71 bhp, 1 Star Safety"
